Genre;Title;Chords;Lyrics
Rock; Whataya Want from Me; i bVII bVI bVI; "Hey, slow it down Whataya want from me? Whataya want from me? Yeah, I'm afraid Whataya want from me? Whataya want from me?"
Rock; Whataya Want from Me; IV V vi I; "Just don't give up, I am working it out Please don't give in, I won't let you down It messed me up, need a second to breathe Just keep comin' around"
Rock; Cryin'; I V vi iii IV I V V; "It's down on me Yeah, I got to tell you one thing It's been on my mind Girl I gotta say We're partners in crime You got that certain something What you give to me Takes my breath away. There was a time When I was so broken-hearted Love wasn't much of a friend of mine The tables have turned, yeah 'Cause me and them ways have parted That kind of love was the killin' kind"
Rock; Cryin'; IV I IV I bVII IV V V; "Now there's not even breathin' room Between pleasure and pain Yeah, you cry when we're makin' love Must be one and the same, Now listen All I want is someone I can't resist I know all I need to know by the way that I got kissed"
Rock; Cryin'; I V iii IV I V IV IV; "I was cryin' when I met you Now I'm tryin' to forget you Love is sweet misery I was cryin' just to get you Now I'm dyin' 'cause I let you Do what you do, down on me, yeah"
Rock; I Don't Want To Miss A Thing; I V6 vi7 vi7 IV I6 ii7 ii7 iii7 IV7 V V I I; "Lying close to you feeling your heart beating And I'm wondering what you're dreaming Wondering if it's me you're seeing Then I kiss your eyes and thank God we're together I just wanna stay with you in this moment forever, forever and ever. I could stay awake just to hear you breathing Watch you smile while you are sleeping While you're far away and dreaming I could spend my life in this sweet surrender I could stay lost in this moment forever Where every moment spent with you is a moment I treasure"
Rock; I Don't Want To Miss A Thing; I V ii7 ii7 IV V; "Don't wanna close my eyes, I don't wanna fall asleep 'Cause I'd miss you baby and I don't wanna miss a thing 'Cause even when I dream of you the sweetest dream would never do I'd still miss you baby and I don't want to miss a thing"
Rock; Mardy Bum; I I III III IV iii ii V; "Well, now then, mardy bum Oh I'm in trouble again, aren't I? I thought as much 'Cause you turned over there And pulling that silent disappointment face The one that I can't bear .Well, now then, mardy bum I've seen your frown And it's like looking down the barrel of a gun And it goes off And out come all these words Oh, there's a very pleasant side to you A side I much prefer."
Rock; Mardy Bum; IV IV V V I V iv iv; "Well can't we just laugh and joke around? Remember cuddles in the kitchen Yeah, to get things off the ground And it was up, up and away Oh, but it's right hard to remember that On a day like today when you're all argumentative And you've got the face on. It's one that laughs and jokes around Remember cuddles in the kitchen Yeah, to get things off the ground And it was up, up and away Oh, but it's right hard to remember that On a day like today when you're all argumentative And you've got the face onIt's one that laughs and jokes around Remember cuddles in the kitchen Yeah, to get things off the ground And it was up, up and away Oh, but it's right hard to remember that On a day like today when you're all argumentative And you've got the face on"
Rock; Mardy Bum; III IV; "And yeah, I'm sorry I was late But I missed the train And then the traffic was a state And I can't be arsed to carry on in this debate That reoccurs oh when you say I don't care But of course I do, yeah, I clearly do."
Rock; Crazy; I vi IV iv I iv IV V; "Come 'ere, baby You know you drive me up a wall The way you make good for all the nasty tricks you pull Seems like we're makin' up more than we're makin' love And it always seems you got someone on your mind other than me Girl, you got to change your crazy ways You hear me? I go crazy, crazy Baby, I go crazy You turn it on, then you're gone Yeah, you drive me Crazy, crazy Crazy for you, baby What can I do, honey? I feel like the color blue"
Rock; Crazy; I IV vi IV; "Say you're leavin' on the seven-thirty train And that you're headin' out to Hollywood Girl, you been givin' me the line so many times It kinda gets like feelin' bad looks good, yeah"
Rock; Crazy; V vi bVII IV; "That kinda lovin' Turns a man to a slave That kinda lovin' Sends a man right to his grave"
Rock; Highway to Hell; I IV6 IV6 I; "No stop signs Speed limit Nobody's gonna slow me down Like a wheel Gonna spin it Nobody's gonna mess me around Hey Satan Payin' my dues Playin' in a rocking band Hey momma Look at me I'm on my way to the Promised Land, ow.  Livin' easy Lovin' free Season ticket on a one-way ride Askin' nothin' Leave me be Takin' everything in my stride Don't need reason Don't need rhyme Ain't nothin' I'd rather do Goin' down Party time My friends are gonna be there too, yeahLivin' easy Lovin' free Season ticket on a one-way ride Askin' nothin' Leave me be Takin' everything in my stride Don't need reason Don't need rhyme Ain't nothin' I'd rather do Goin' down Party time My friends are gonna be there too, yeah"
Rock; Highway to Hell; I IV I IV; "I'm on the highway to hell On the highway to hell Highway to hell I'm on the highway to hell"
Rock; Man in The Box; bIII i7 i7; "I'm the man in the box Buried in my shit Won't you come and save me? Save meI'm the man in the box Buried in my shit Won't you come and save me? Save me"
Rock; Man in The Box; i bIII bVII IV; "Feed my eyes (Can you sew them shut?) Jesus Christ (Deny your maker) He who tries (Will be wasted) Oh, feed my eyes (Now you've sewn them) shut"
Rock; Amber; I vi iii iii; "You live too far away Your voice rings like a bell anyway Don't give up your independence Unless it feels so right Nothing good comes easily Sometimes you've got to fight. Brainstorm, take me away from the norm I've got to tell you something This phenomenon, I had to put it in a song And it goes like. You wanna know what brings me here, oh You glide through my head, blind to fear And I know why"
Rock; Amber; I iv iii iii; "Whoa Amber is the color of your energy Whoa Shades of gold displayed naturally Whoa Amber is the color of your energy Whoa Shades of gold displayed naturally"
Rock; Back in Black; i bVII IV IV; "Back in the back of a Cadillac Number one with a bullet, I'm a power pack Yes, I'm in a bang with a gang They've got to catch me if they want me to hang 'Cause I'm back on the track and I'm beatin' the flack Nobody's gonna get me on another rap So look at me now, I'm just making my play Don't try to push your luck, just get out of my way. Back in black, I hit the sack I've been too long, I'm glad to be back Yes, I'm let loose from the noose That's kept me hanging about I'm just looking at the sky 'cause it's getting me high Forget the hearse, 'cause I'll never die I got nine lives, cat's eyes Abusing every one of them and running wild"
Rock; Back in Black; IV V IV V bIII bIII IV IV; "'Cause I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black, oh"
Rock; Miss Murder; i i bVII V; "With just a look, they shook And heavens bowed before him Simply a look can break your heart The stars that pierce the sky He left them all behind We're left to wonder why He left us all behind. Dreams of his crash won't pass Oh, how they all adored him Beauty will last when spiraled down The stars that mystified He left them all behind And how his children cried He left us all behind. What's the hook, the twist within this verbose mystery? I would gladly bet my life upon it That the ghost you love, your ray of light Will fizzle out without hope We're the empty set just floating through Wrapped in skin Ever searching for what we were promised Reaching for that golden ring, we'd never let go Who would ever let us put our filthy hands upon it?"
Rock; Miss Murder; i iv bIII bVII; "Hey, Miss Murder, can I? (Hey!) Hey, Miss Murder, can I? (Hey!) Make beauty stay if I take my life? (Hey!) Woah-oh Hey, Miss Murder, can I? (Hey!) Hey, Miss Murder, can I? (Hey!) Make beauty stay if I take my life? (Hey!) Woah-oh"
Rock; Dream On; i v #iv07 v; "Half my life's in books' written pages Lived and learned from fools and from sages You know it's true All the things come back to you. Every time that I look in the mirror All these lines on my face getting clearer The past is gone It went by like dusk to dawn Isn't that the way? Everybody's got their dues in life to pay, yeah."
Rock; Dream On; i bVII bVI bVII; "I know nobody knows Where it comes and where it goes I know it's everybody's sin You got to lose to know how to win"
Rock; Dream On; i bVII bVI bVII i bVII bVI V; "Sing with me, sing for the year Sing for the laughter and sing for the tear Sing with me if it's just for today Maybe tomorrow the good Lord will take you away Yeah, sing with me, sing for the year Sing for the laughter and sing for the tear Sing with me if it's just for today Maybe tomorrow the good Lord will take you away. Dream on, dream on, dream on Dream until your dreams come true Dream on, dream on, dream on Dream until your dreams come true Dream on, dream on, dream on Dream on, dream on, dream on Dream on, ah"
Country; All American Girl; IV I ii I IV I ii V; "Now he's wrapped around her finger She's the center of his whole world And his heart belongs to that sweet little Beautiful, wonderful, perfect All-American girl"
Country; All American Girl; I I IV IV iii iii ii V; "Since the day they got married He'd been praying for a little baby boy Someone he could take fishing Throw the football and be his pride and joy He could already see him holding that trophy Taking his team to state But when the nurse came in with a little pink blanket All those big dreams changed. 16 short years later She was falling for the senior football star Before you knew it, he was dropping passes Skipping practice just to spend more time with her The coach said, 'Hey, son, what's your problem? Tell me, have you lost your mind?' And daddy said, You'll lose your free ride to college Boy, you better tell her goodbye"
Country; So Small; vi IV I V; "What you got if you ain't got love? The kind that you just want to give away It's okay to open up Go ahead and let the light shine through I know it's hard on a rainy day You wanna shut the world out and just be left alone But don't run out on your faith. It's so easy to get lost inside A problem that seems so big at the time It's like a river that's so wide, it swallows you whole While you're sitting around, thinking about what you can't change And worrying about all the wrong things Time's flying by Moving so fast You better make it count 'cause you can't get it back"
Country; So Small; IV iv V I IV iv V V; "'Cause sometimes that mountain you've been climbing Is just a grain of sand And what you've been out there searching for forever Is in your hands And when you figure out love is all that matters after all It sure makes everything else Seem so small."
Country; Down On The Corner; I I V I I I V I IV IV I I I I V I; "Rooster hits the washboard People just gotta smile Blinky thumps a gut bass And solos for a while Poorboy twangs the rhythm out On his kalamazoo And Willy goes into a dance Doubles on kazoo. Early in the evenin' Just about supper time Over by the courthouse They're startin' to unwind Four kids on the corner Tryin' to bring you up Willy picks a tune out And he blows it on the harp. You don't need a penny Just to hang around But if you've got a nickel Won't you lay your money down? Over on the corner There's a happy noise People come from all around To watch the magic boy."
Country; Down On The Corner; IV I V I IV I V I; "Down on the corner Out in the street Willy and the poorboys are playin' Bring a nickel, tap your feet"
Country; Something In The Water; I I IV I vi V I I; "I wear a demeanor made of bright pretty things What she wears, what she wears, what she wears Birds singing on my shoulder in harmony it seems How they sing, how they sing, how they sing. I've got halos made of summer, ribbons made of spring What she wears, what she wears, what she wears I've got crowns of words a–woven, each one a song to sing Oh I sing, oh I sing, oh I sing"
Country; Something In The Water; iv I V I IV I IV V; "Ah, ah, ah, ah, ah, ah There's something in the water, something in the water Ah, ah, ah, ah, ah, ah There's something in the water that makes me love you like"
Country; Something In The Water; IV IV I I IV IV I V; "Give me long days in the sun, preludes to the nights to come Previews of the mornings, laying in all lazy Give me something fun to do, like a life of loving you Kiss me quick now, baby, I'm still crazy over you. Give me nights of solitude, red wine, just a glass or two Reclined in a hammock on a balmy evening I'll pretend that it's no thing that skip in my heart when I think Of you thinking of me, babe, I'm crazy over you"
Country; The Chain; i i V V bVII bVI i i; "Listen to the wind blow Down comes the night Run in the shadows Damn your love, damn your lies Break the silence Damn the dark, damn the light. Listen to the wind blow Watch the sun rise Run in the shadows Damn your love, damn your lies"
Country; The Chain; iv iv iv iv i bVI bVII bVII; "And if you don't love me now You will never love me again I can still hear you saying We would never break the chain (never break the chain) And if you don't love me now (you don't love me now) You will never love me again I can still hear you saying We would never break the chain (never break the chain)"
Country; Drink in My Hand; I vi IV I I vi IV I; "Make me wanna go ouhhh ouh ouhhh, when you dance like that You got that little tattoo playing peek-a-boo on your back Yea if you want to impress me, baby here's my plan All you got to do is put a drink in my hand. No need to complicate it, I'm a simple man All you got to do is put a drink in my hand Yea the parking lot is muddy, can't get to the door I'll take my jacked up drop er' down in four by four Chill down a long neck, warm up the band All you gotta do is put a drink in my hand. Early Monday morning, 'til Friday at five Man I work, work, work but I don't climb, climb, climb Boss man can shove that overtime up his can All I wanna do is put a drink in my hand."
Country; Drink in My Hand; V V IV IV V V IV I; "To fill it up, or throw it down I got a 40 hour week worth of trouble to drown. To fill it up, or throw it down I'm about to tear a new one in this old town"
Country; I Can't Make You Love Me; IV vi vi IV IV I vi ii; "Turn down the lights, turn down the bed Turn down these voices inside my head Lay down with me, tell me no lies Just hold me close, don't patronize Don't patronize me. I'll close my eyes, then I won't see The love you don't feel when you're holdin' me Mornin' will come, and I'll do what's right Just give me 'til then to give up this fight And I will give up this fight"
Country; I Can't Make You Love Me; IV I IV IV IV I I V; "'Cause I can't make you love me if you don't You can't make your heart feel somethin' it won't Here in the dark, in these final hours I will lay down my heart and I'll feel the power But you won't, no you won't 'Cause I can't make you love me, if you don't."
Country; Goodbye Earl; I IV I V; "Mary Anne and Wanda were the best of friends All through their high school days Both members of the 4H Club Both active in the FFA After graduation Mary Anne went out lookin' for a bright new world Wanda looked all around this town and all she found was Earl"
Country; Goodbye Earl; iv V IV I; "Well, it wasn't two weeks after she got married that Wanda started gettin' abused She put on dark glasses and long sleeved blouses And make-up to cover her bruise. Right away Mary Anne flew in from Atlanta On a red eye midnight flight She held Wanda's hand and they worked out a plan And it didn't take them long to decide That Earl had to die"
Country; Goodbye Earl; I I IV I V V IV IV; "Goodbye, Earl Those black-eyed peas? They tasted all right to me, Earl You're feeling weak? Why don't you lay down and sleep, Earl Ain't it dark? Wrapped up in that tarp, Earl"
Country; Blown Away; i bIII bVII V; "Dry lightnin' cracks across the skies Those storm clouds gather in her eyes Her daddy was a mean old mister Mama was an angel in the ground The weatherman called for a twister She prayed, Blow it down. There's not enough rain in Oklahoma To wash the sins out of that house There's not enough wind in Oklahoma To rip the nails out of the past. She heard those sirens screamin' out Her daddy laid there, passed out on the couch She locked herself in the cellar Listened to the screamin' of the wind Some people call it taking shelter She called it, Sweet revenge"
Country; Blown Away; i bIII bVII bVII; "Shatter every window 'til it's all blown away Every brick, every board, every slammin' door blown away 'Til there's nothin' left standin', nothin' left of yesterday Every tear-soaked, whiskey memory blown away Blown away (blown away)"
Country; Smoke Rings in the Dark; I I iv iv ii IV V IV; "Well, I won't make you tell me What I've come to understand You're a certain kind of woman I'm a different kind of man I've tried to make you love me You've tried to find a spark Of the flame that burned and somehow turned to To smoke rings in the dark. The loneliness within me Takes a heavy toll 'Cause it burns as slow as whiskey Through an empty achin' soul And the night is like a dagger Long and cold and sharp As I sit here on the front steps Blowin' smoke rings in the dark. The rain falls where it wants to The wind blows where it will Everything on earth goes somewhere But I swear we're standin' still So I'm not gonna wake you I'll go easy on your heart I'll just touch your face and drift away Like smoke rings in the dark."
Country; Smoke Rings in the Dark; vi IV I V; "I know I must be going 'Cause love's already gone And all I'm taking with me Are the pieces of my heart And all I'll leave are smoke rings in the dark."
Country; Cruise; I V vi7 IV; "Baby you're a song You make me wanna roll my windows down and cruise Down a back road blowin' stop signs through the middle Every little farm town with you In this brand new Chevy with a lift kit Would look a hell lot better with you up in it So baby you're a song You make me wanna roll my windows down and cruise"
Country; Cruise; I I I I iv IV iv IV; "She was sippin' on southern and singin' Marshall Tucker We were falling in love in the sweet heart of summer She hopped right up into the cab of my truck and said Fire it up, let's go get this thing stuck. Yeah, when I first saw that bikini top on her She's poppin' right out of the South Georgia water Thought, Oh, good Lord, she had them long tanned legs Couldn't help myself so I walked up and said"
Rap; Fotget You; I II IV I; "I see you driving 'round town with the girl I love And I'm like, Forget you (ooh-ooh-ooh) I guess the change in my pocket wasn't enough I'm like, Forget you and forget her, too Said, If I was richer, I'd still be with ya Ha, now ain't that some shh-? (Ain't that some shh-?) And although there's pain in my chest I still wish you the best with a forget you (ooh-ooh-ooh) Yeah, I'm sorry, I can't afford a Ferrari But that don't mean I can't get you there I guess he's an Xbox, and I'm more Atari But the way you play your game ain't fair I pity the fool that falls in love with you (Oops, she's a gold digger) well? (Just thought you should know) Ooh, I've got some news for you Yeah, go run and tell your little boyfriend I see you driving 'round town with the girl I love And I'm like, Forget you (ooh-ooh-ooh) I guess the change in my pocket wasn't enough I'm like, Forget you and forget her, too Said, If I was richer, I'd still be with ya Ha, now ain't that some shh-? (Ain't that some shh-?) And although there's pain in my chest I still wish you the best with a forget you (ooh-ooh-ooh) Now I know, that I had to borrow Beg and steal and lie and cheat Trying to keep ya, trying to please ya 'Cause being in love with your a- ain't cheap Now, I pity the fool that falls in love with you (Oops, she's a gold digger) well? (Just thought you should know) Ooh, I've got some news for you Owh! I really hate yo a- right now I see you driving 'round town with the girl I love And I'm like, Forget you (ooh-ooh-ooh) I guess the change in my pocket wasn't enough I'm like, Forget you and forget her, too Said, If I was richer, I'd still be with ya Ha, now ain't that some shh-? (Ain't that some shh-?) And although there's pain in my chest I still wish you the best with a forget you (ooh-ooh-ooh)"
Rap; Forget You; iii7 vi7 ii7 V7; "Now baby, baby, baby Why d'you wanna, wanna hurt me so bad? (So bad) so bad (so bad, so bad) I tried to tell my momma but she told me This is one for your dad (Your dad) yes, she did (your dad, your dad) And I'm like Uh! Why? (Uh!) Why? (Uh!) Why lady?! (Oh!) I love you (Oh!) I still love you, oh"
Rap; The Call; i i V V bIII bIII iv V; "I should've said, No, someone's waiting for me But I called my girl up, and said Listen, baby, I'm sorry, just want to tell you, don't worry I will be late, don't stay up and wait for me Say again? You're dropping out, my battery is low Just so you know, we're going to a place nearby, gotta go"
Rap; The Call; i i bVII bVII bVI bVI V V; "Hello? Hi, it's me, what's up, baby? I'm sorry, listen, I'm gonna be late tonight So, don't stay up and wait for me, okay? Where are you? Wait, wait, say that again? Hello? You're really dropping out, I think my battery must be low Listen, if you can hear me, we're going to a place nearby, alright? Gotta go. Let me tell you the story 'Bout the call that changed my destiny Me and my boys went out Just to end up in misery Was about to go home When there she was standing in front of me And said, Hi, I got a little place nearby, wanna go?"
Rap; We've Got It Goin' On; I iv I iv; "Everybody groove to the music Everybody jam We've been waiting so long Just can't hold it back no more Creepin' up and down now It's time for me to let it go If you really wanna see What we can do for you ah Send the crazy wildin' static Sing it. Well I'm creepin' up on your left Straight up funky when I get with you I get ruthless when I get wet Keep the party packed in my corner Tough like granite to keep the crowd hype Get up on this just to get right What you want is what you gonna get Backstreets got the special effects If you really wanna see What we can do for you ah Send the crazy wildin' static Sing it"
Rap; We've Got It Goin' On; i V i V; "Jam on cause Backstreets got it Come on now everybody We've got it goin' on for years Jam on cause Backstreets got it Come on now everybody We've got it goin' on for years We've got it goin' on for years We've got it goin' on for years"
Rap; Black Eyed Peas; i bIII bVI V; "Let's get it started (ha) Let's get it started (in here) Let's get it started (ha) Let's get it started (in here) Let's get it started (ha) Let's get it started (in here) Let's get it started (ha) Let's get it started (in here). Let's get it started, in here And the bass keep runnin', runnin' And runnin', runnin' And runnin', runnin' And runnin', runnin'"
Rap; Black Eyed Peas; i bIII bVI V; "In this context, there's no disrespect So, when I bust my rhyme, you break your necks We got five minutes for us to disconnect From all intellect and let the rhythm effect To lose your inhibition, follow your intuition Free your inner soul and break away from tradition 'Cause when we be out, girlies pull they weave out You wouldn't believe how we wow shit out Burn it 'til it's burned out, turn it 'til it's turned out Act up from north, west, east, south Everybody, everybody, just get into it Get stupid (come on) Get it started (come on), get it started (yeah), get it started. Lose control, of body and soul Don't move too fast, people, just take it slow Don't get ahead, just jump into it Y'all hear about it, the Peas will do it Get started, get stupid Don't worry about it, people will walk you through it Step by step, like an infant new kid Inch by inch with the new solution Transmit hits, with no delusion The feeling's irresistible and that's how we movin' Everybody, everybody, let's get into it Get stupid (come on) Get it started (come on), get it started (yeah), get it started"
Rap; I Love College; iv I IV I V vi IV I; "That party last night was awfully crazy, I wish we taped it I danced my ass off and had this one girl completely naked Drink my beer and smoke my weed But my good friends is all I need Pass out at three, wake up at ten Go out to eat, then do it again. Now if everybody would please Put their drink, as high as they can As high as they can, and repeat after me Chug! Chug! Chug! Chug! Chug! Chug! Chug! Chug! Freshmen! Freshmen! Freshmen! Freshmen! Do something crazy! Do something crazy! Do something crazy! Do something crazy! Keg-stand! Keg-stand! Keg-stand! Keg-stand! (That party last night) Man I love college, I love it (That party last night) Goodnight everybody, I gotta head back to class for a little bit"
Rap; I Love College; iv I IV I V vi IV I; "(Man, I love college) I wanna go to college for the rest of my life Sip Bankers Club, and drink Miller Lite On Thirsty Thursday and Tuesday Night Ice And I can get pizza a dollar a slice So fill up my cup, let's get fucked up I'm next on the table, who want what I am champion, at beer pong Allen Iverson, Hakeem Olajuwon Don't even bounce, not in my house Better hope you make it, otherwise, you naked Time isn't wasted, when you're getting wasted Woke up today, and all I could say is, um. I can't tell you what I learned from school But, I could tell you a story or two Um, yeah, of course, I learned some rules Like don't pass out with your shoes on And don't leave the house, 'till the booze gone And don't have sex, if she's too gone When it comes to condoms, put two on Then tomorrow night, find a new jawn Hold the beer bong, nothing wrong with some fun Even if we did get a little bit too drunk Time isn't wasted, when you're getting wasted Woke up today, and all I could say is"
Rap; Changes; ii7 vi7 V IV I V IV7 IV7; "I see no changes, all I see is racist faces Misplaced hate makes disgrace to races We under, I wonder what it takes to make this One better place, let's erase the wasted Take the evil out the people they'll be acting right 'Cause mo' black and white is smokin' cr- tonight And only time we chill is when we kill each other It takes skill to be real, time to heal each other (kill each other) And although it seems heaven sent We ain't ready, to see a black President It ain't a secret don't conceal the fact The penitentiary's packed, and it's filled with blacks But some things will never change Try to show another way but you stayin' in the dope game Now tell me, what's a mother to do? Bein' real don't appeal to the brother in you (yeah) You gotta operate the easy way (I made a G today) but you made it in a sleazy way Sellin' cr- to the kid (I gotta get paid) Well hey, well, that's the way it is. Come on, come on I see no changes, wake up in the morning and I ask myself Is life worth living, should I blast myself? I'm tired of bein' poor, and even worse, I'm black My stomach hurts, so I'm lookin' for a purse to snatch Cops give a damn about a negro Pull the trigger, kill a n-, he's a hero Give the cr- to the kids who the hell cares One less hungry mouth on the welfare First ship 'em dope and let 'em deal the brothers Give 'em guns, step back, watch 'em kill each other It's time to fight back that's what Huey said Two shots in the dark, now Huey's dead I got love for my brother, but we can never go nowhere Unless we share with each other We gotta start makin' changes Learn to see me as a brother instead of two distant strangers And that's how it's supposed to be How can the devil take a brother, if he's close to me? I'd love to go back to when we played as kids But things changed, that's the way it is"
Rap; Changes; I V IV IV; "(Come on, come on) That's just the way it is (change) Things will never be the same That's just the way it is (that's just the way it is for us) Aww, yeah (hear me) (Oh no, oh, no) (come on, come on, come on) That's just the way it is (that's just the way it is) (the way it is) (Somethings) things will never be the same (Never be the same yeah, yeah, yeah, aww yeah) That's just the way it is (the way it is) Aww, yeah (come on, come on)"
Rap; Dirt Bells; vi7 ii I vi V bVII bVII7 bVII7; "Ay yo they're sleeping on him hard, yo they're sleeping on him Used to dream about, think about the long road Back seat limos to award shows Hitting off such and such, hanging out with so and so Yeah, a taste of that glamor He won't even miss it so, it won't even matter Rather sit down and listen while Writing a letter to the fam' like I miss 'em I ain't been around Really see 'em Yeah, it's been a while Out here on this road, if they only knew That I'm out here doing it for 'em From state to state Straining these vocal chords from screaming On these mics at fans till I see hands, every night Automatic when they see me, autographs on their CD's Since 2005, on the rise, moving freely So, to the loved ones that's broken hearted Before I depart this planet gotta finish what I started"
